date,state,Product,Problem,SRS,SRM
2023-02-23,in-ka,UPS EB,BEEP Sound,Safari,Carry in
2023-04-23,in-up,UPS E2,No Output Voltage,Assigned,Whatsapp
2023-03-17,in-as,Stabilizer,No Output Voltage,Installation Done,Carry in
2023-08-31,in-gj,UPS E2,No Output Voltage,Spare Parts Unavailable,Call Center
2022-12-20,in-dd,Jumbo,Charging Problem,Installation Done,Dealer
2022-10-09,in-nl,Stabilizer,BEEP Sound,Spare Parts Unavailable,Call Center
2023-07-02,in-ch,UPS EB,No Display,Assigned,Email
2023-04-10,in-tr,UPS XP,Switch Problem,Assigned,Call
2022-09-16,in-tn,UPS E2,Load Problem,Estimation Pending Approval,Email
2023-05-18,in-kl,UPS EB,Backup Problem,Safari,Carry in
2022-11-17,in-dd,Online UPS,Load Problem,Safari,Carry in
2023-04-03,in-kl,UPS E2,Charging Problem,Estimation Pending Approval,Carry in
2023-07-25,in-ct,UPS E2,Charging Problem,Installation Done,Carry in
2022-11-03,in-ch,Jumbo,No Output Voltage,Installation Done,Customer
2022-10-19,in-hp,Stabilizer,BEEP Sound,Safari,Call
2022-11-08,in-rj,UPS XP,Switch Problem,Spare Parts Unavailable,Carry in
2023-08-21,in-br,UPS XP,No Display,Safari,Customer
2023-01-08,in-an,Jumbo,Charging Problem,Safari,Call
2023-01-01,in-tr,UPS EB,Load Problem,Estimation Pending Approval,Customer
2022-09-30,in-ld,UPS E2,No Output Voltage,Assigned,Customer
2023-03-31,in-ld,Jumbo,Switch Problem,Spare Parts Unavailable,Dealer
2023-05-31,in-br,Online UPS,Charging Problem,Spare Parts Unavailable,Customer
2022-12-27,in-ut,UPS EB,Backup Problem,Spare Parts Unavailable,Whatsapp
2023-08-27,in-up,Jumbo,Charging Problem,Safari,Customer
2022-11-26,in-sk,UPS EB,Backup Problem,Installation Done,Customer
2023-04-01,in-ch,UPS EB,No Display,Spare Parts Unavailable,Email
2022-09-13,in-or,Online UPS,Charging Problem,Installation Done,Email
2022-12-04,in-dd,Online UPS,No Output Voltage,Installation Done,Carry in
2022-10-25,in-hr,Stabilizer,Switch Problem,Spare Parts Unavailable,Call Center
2023-07-10,in-tn,Jumbo,Load Problem,Installation Done,Dealer
2023-04-05,in-an,UPS EB,Switch Problem,Estimation Pending Approval,Call
2022-11-16,in-dl,UPS E2,Charging Problem,Safari,Call Center
2023-06-26,in-br,Online UPS,Load Problem,Assigned,Whatsapp
2023-05-27,in-mp,UPS E2,Backup Problem,Spare Parts Unavailable,Dealer
2022-09-04,in-br,UPS E2,Load Problem,Installation Done,Carry in
2023-04-24,in-dn,Jumbo,No Display,Assigned,Call
2022-09-21,in-hp,UPS EB,BEEP Sound,Installation Done,Whatsapp
2022-11-04,in-ap,UPS XP,Charging Problem,Installation Done,Customer
2023-05-29,in-ap,Jumbo,No Display,Estimation Pending Approval,Dealer
2023-08-04,in-ap,Online UPS,Switch Problem,Assigned,Call Center
2023-01-03,in-wb,UPS XP,Backup Problem,Assigned,Email
2023-02-08,in-ar,Jumbo,BEEP Sound,Spare Parts Unavailable,Customer
2023-08-18,in-rj,Jumbo,Backup Problem,Spare Parts Unavailable,Whatsapp
2023-06-19,in-ld,UPS E2,No Output Voltage,Safari,Email
2022-10-16,in-tn,UPS EB,No Output Voltage,Spare Parts Unavailable,Call Center
2023-07-08,in-mp,UPS EB,BEEP Sound,Spare Parts Unavailable,Whatsapp
2023-08-26,in-ap,UPS XP,Charging Problem,Estimation Pending Approval,Carry in
2022-09-06,in-ch,Online UPS,No Output Voltage,Spare Parts Unavailable,Carry in
2023-07-12,in-ar,Online UPS,No Output Voltage,Installation Done,Email
2023-02-02,in-ka,UPS EB,No Output Voltage,Spare Parts Unavailable,Dealer
2023-02-09,in-hr,UPS EB,BEEP Sound,Estimation Pending Approval,Email
2022-09-07,in-ct,Online UPS,Load Problem,Safari,Call
2022-11-15,in-tg,UPS EB,BEEP Sound,Estimation Pending Approval,Call Center
2023-03-23,in-ga,Stabilizer,BEEP Sound,Estimation Pending Approval,Call Center
2023-03-13,in-gj,Online UPS,No Output Voltage,Estimation Pending Approval,Customer
2022-12-31,in-ap,Stabilizer,No Output Voltage,Estimation Pending Approval,Call
2023-04-11,in-as,UPS XP,BEEP Sound,Spare Parts Unavailable,Email
2022-09-16,in-nl,Online UPS,No Display,Spare Parts Unavailable,Carry in
2023-04-05,in-py,UPS XP,Switch Problem,Safari,Email
2022-10-25,in-pb,Jumbo,Backup Problem,Estimation Pending Approval,Whatsapp
2023-03-08,in-hp,UPS E2,Load Problem,Installation Done,Call
2022-09-02,in-kl,UPS XP,No Output Voltage,Estimation Pending Approval,Call Center
2023-01-25,in-mh,Jumbo,BEEP Sound,Spare Parts Unavailable,Carry in
2023-05-12,in-dl,Jumbo,Backup Problem,Spare Parts Unavailable,Customer
2022-12-06,in-tg,Stabilizer,Switch Problem,Assigned,Whatsapp
2023-08-06,in-rj,UPS XP,Load Problem,Safari,Customer
2023-06-08,in-rj,UPS E2,Charging Problem,Estimation Pending Approval,Dealer
2023-05-21,in-tr,Online UPS,Charging Problem,Estimation Pending Approval,Whatsapp
2023-05-30,in-ml,Stabilizer,Charging Problem,Estimation Pending Approval,Call Center
2023-01-24,in-sk,UPS EB,Load Problem,Spare Parts Unavailable,Dealer
2023-04-16,in-hp,Jumbo,No Output Voltage,Estimation Pending Approval,Customer
2023-05-20,in-br,UPS XP,Charging Problem,Safari,Call
2022-09-24,in-jh,UPS E2,Charging Problem,Installation Done,Carry in
2023-07-08,in-mn,UPS E2,No Display,Installation Done,Carry in
2023-02-17,in-wb,Jumbo,Switch Problem,Estimation Pending Approval,Carry in
2022-12-05,in-an,Jumbo,BEEP Sound,Installation Done,Call Center
2023-04-15,in-ga,Stabilizer,Backup Problem,Assigned,Email
2023-01-15,in-ch,UPS E2,Load Problem,Assigned,Carry in
2023-06-16,in-rj,Online UPS,No Output Voltage,Installation Done,Email
2022-09-25,in-ka,Online UPS,BEEP Sound,Spare Parts Unavailable,Dealer
2023-07-23,in-pb,UPS XP,No Display,Assigned,Whatsapp
2023-06-09,in-mn,Online UPS,No Display,Installation Done,Call Center
2023-03-30,in-dd,UPS XP,Load Problem,Installation Done,Call
2023-07-15,in-dd,Jumbo,Charging Problem,Safari,Carry in
2022-10-15,in-br,UPS XP,No Output Voltage,Installation Done,Customer
2023-03-10,in-tr,UPS E2,No Display,Spare Parts Unavailable,Dealer
2023-06-21,in-rj,Online UPS,No Output Voltage,Installation Done,Call Center
2023-04-01,in-py,UPS EB,Backup Problem,Safari,Customer
2023-06-02,in-pb,UPS EB,No Output Voltage,Estimation Pending Approval,Dealer
2023-05-29,in-up,UPS E2,Backup Problem,Safari,Carry in
2022-11-07,in-tr,Online UPS,Backup Problem,Safari,Customer
2023-06-06,in-hr,Stabilizer,BEEP Sound,Spare Parts Unavailable,Dealer
2022-11-22,in-as,UPS E2,Switch Problem,Installation Done,Call
2023-07-29,in-gj,Jumbo,Load Problem,Safari,Dealer
2022-10-03,in-tg,UPS EB,Backup Problem,Installation Done,Call Center
2023-04-27,in-mh,UPS E2,Backup Problem,Spare Parts Unavailable,Call
2023-07-28,in-dl,UPS E2,Charging Problem,Installation Done,Customer
2023-06-14,in-py,UPS EB,Load Problem,Safari,Email
2023-06-12,in-mh,Stabilizer,No Display,Installation Done,Carry in
2023-02-03,in-as,Stabilizer,No Output Voltage,Spare Parts Unavailable,Email
2022-11-28,in-rj,UPS XP,BEEP Sound,Assigned,Call Center
2023-05-29,in-mp,UPS XP,No Display,Installation Done,Whatsapp
2023-08-15,in-mn,UPS XP,Backup Problem,Installation Done,Carry in
2022-10-08,in-br,Online UPS,Charging Problem,Assigned,Call
2023-02-25,in-ct,UPS XP,Charging Problem,Assigned,Carry in
2022-10-27,in-an,Stabilizer,Charging Problem,Assigned,Customer
2023-05-15,in-ut,Jumbo,BEEP Sound,Assigned,Email
2022-10-07,in-hp,Stabilizer,No Display,Installation Done,Customer
2023-04-19,in-ml,Jumbo,No Output Voltage,Spare Parts Unavailable,Customer
2022-11-05,in-up,UPS XP,Backup Problem,Installation Done,Call
2022-11-28,in-ut,Online UPS,No Display,Spare Parts Unavailable,Dealer
2022-12-06,in-dd,UPS E2,No Display,Assigned,Whatsapp
2023-06-11,in-pb,Stabilizer,Load Problem,Installation Done,Email
2022-12-05,in-hp,Stabilizer,BEEP Sound,Estimation Pending Approval,Carry in
2022-12-18,in-br,Online UPS,Charging Problem,Spare Parts Unavailable,Call Center
2023-08-01,in-ga,UPS XP,No Output Voltage,Assigned,Email
2023-01-08,in-up,UPS XP,No Display,Safari,Dealer
2023-07-26,in-jh,UPS XP,Load Problem,Safari,Customer
2022-12-16,in-hr,Jumbo,No Output Voltage,Spare Parts Unavailable,Whatsapp
2023-05-27,in-ml,Online UPS,Switch Problem,Estimation Pending Approval,Carry in
2023-02-17,in-ap,UPS E2,Charging Problem,Spare Parts Unavailable,Carry in
2023-03-29,in-ch,Jumbo,Backup Problem,Installation Done,Carry in
2023-03-12,in-tg,UPS XP,Load Problem,Installation Done,Customer
2023-07-01,in-pb,Online UPS,Switch Problem,Spare Parts Unavailable,Carry in
2023-05-28,in-hr,UPS XP,No Display,Estimation Pending Approval,Call Center
2023-03-02,in-jh,UPS EB,Load Problem,Assigned,Call Center
2023-03-15,in-ga,UPS XP,Load Problem,Assigned,Dealer
2023-04-26,in-or,UPS EB,Backup Problem,Spare Parts Unavailable,Whatsapp
2022-12-18,in-pb,Stabilizer,Switch Problem,Installation Done,Call
2023-03-25,in-mp,UPS E2,Switch Problem,Estimation Pending Approval,Carry in
2023-08-31,in-ar,Jumbo,No Display,Estimation Pending Approval,Email
2023-05-22,in-gj,UPS XP,Charging Problem,Installation Done,Customer
2023-08-27,in-mz,Stabilizer,No Output Voltage,Installation Done,Call Center
2023-03-06,in-tr,UPS XP,BEEP Sound,Spare Parts Unavailable,Dealer
2023-01-14,in-py,UPS EB,No Output Voltage,Installation Done,Whatsapp
2023-02-12,in-an,Jumbo,Load Problem,Safari,Call Center
2022-10-26,in-ga,Online UPS,BEEP Sound,Safari,Call
2023-02-26,in-ut,Online UPS,Load Problem,Spare Parts Unavailable,Whatsapp
2023-05-09,in-ap,UPS EB,BEEP Sound,Assigned,Carry in
2022-09-11,in-rj,UPS XP,No Output Voltage,Spare Parts Unavailable,Call
2022-12-28,in-pb,Online UPS,Switch Problem,Installation Done,Customer
2022-09-15,in-tr,UPS EB,Switch Problem,Spare Parts Unavailable,Whatsapp
2023-08-03,in-mn,Jumbo,Switch Problem,Spare Parts Unavailable,Carry in
2022-09-08,in-jh,Online UPS,Charging Problem,Estimation Pending Approval,Call
2022-11-06,in-ch,UPS EB,Switch Problem,Spare Parts Unavailable,Call Center
2023-03-13,in-hr,Online UPS,No Output Voltage,Spare Parts Unavailable,Email
2023-08-15,in-wb,UPS E2,Load Problem,Installation Done,Call
2023-03-13,in-wb,Stabilizer,No Display,Assigned,Call
2023-04-22,in-nl,UPS EB,BEEP Sound,Spare Parts Unavailable,Call
2023-07-19,in-tg,UPS EB,Charging Problem,Safari,Dealer
2023-02-10,in-ar,Stabilizer,Backup Problem,Safari,Customer
2023-03-01,in-tn,UPS E2,Switch Problem,Installation Done,Call
2022-09-06,in-ap,Jumbo,BEEP Sound,Assigned,Dealer
2022-10-30,in-dd,Stabilizer,Switch Problem,Spare Parts Unavailable,Customer
2023-06-09,in-br,UPS EB,No Output Voltage,Assigned,Carry in
2023-06-04,in-mh,Jumbo,No Output Voltage,Safari,Customer
2023-08-20,in-mn,Online UPS,Switch Problem,Estimation Pending Approval,Call
2022-11-21,in-gj,Jumbo,No Output Voltage,Safari,Customer
2022-12-23,in-gj,Jumbo,Charging Problem,Estimation Pending Approval,Call Center
2023-08-06,in-ch,UPS E2,Load Problem,Installation Done,Email
2023-07-09,in-ml,Stabilizer,Load Problem,Installation Done,Customer
2022-12-15,in-gj,UPS E2,Load Problem,Safari,Whatsapp
2023-08-19,in-ap,Jumbo,Switch Problem,Assigned,Email
2023-07-25,in-gj,UPS E2,No Output Voltage,Assigned,Customer
2022-12-23,in-dn,UPS EB,Charging Problem,Assigned,Call Center
2022-12-13,in-hp,UPS E2,No Display,Estimation Pending Approval,Call
2022-11-17,in-dd,Jumbo,Switch Problem,Spare Parts Unavailable,Call
2023-08-19,in-ld,Jumbo,No Output Voltage,Installation Done,Whatsapp
2022-09-10,in-tr,Stabilizer,No Output Voltage,Spare Parts Unavailable,Email
2023-07-17,in-sk,UPS XP,Backup Problem,Safari,Email
2023-01-18,in-dd,UPS E2,Load Problem,Estimation Pending Approval,Carry in
2022-12-14,in-pb,Jumbo,Load Problem,Estimation Pending Approval,Carry in
2023-08-22,in-dd,Jumbo,No Display,Spare Parts Unavailable,Call Center
2023-07-18,in-ap,UPS E2,Backup Problem,Installation Done,Call
2023-04-29,in-an,UPS E2,No Display,Safari,Call
2023-05-14,in-ka,Jumbo,Load Problem,Installation Done,Call
2022-11-08,in-tg,Jumbo,BEEP Sound,Safari,Call Center
2023-06-14,in-ml,Jumbo,No Display,Estimation Pending Approval,Carry in
2022-12-16,in-ut,UPS XP,Switch Problem,Safari,Customer
2023-02-03,in-pb,UPS EB,Load Problem,Assigned,Whatsapp
2023-05-04,in-mh,UPS E2,BEEP Sound,Safari,Dealer
2023-07-26,in-dd,Jumbo,Switch Problem,Estimation Pending Approval,Dealer
2023-03-16,in-dd,UPS XP,No Output Voltage,Safari,Call Center
2022-10-31,in-ml,Jumbo,No Output Voltage,Installation Done,Whatsapp
2022-12-24,in-up,UPS E2,Load Problem,Assigned,Email
2023-08-26,in-dd,Online UPS,Load Problem,Safari,Dealer
2023-08-31,in-gj,UPS E2,Charging Problem,Spare Parts Unavailable,Dealer
2023-02-20,in-ct,Online UPS,Load Problem,Spare Parts Unavailable,Email
2022-12-27,in-sk,UPS EB,No Display,Installation Done,Call Center
2023-08-26,in-an,Stabilizer,BEEP Sound,Estimation Pending Approval,Whatsapp
2023-08-18,in-tr,UPS E2,No Output Voltage,Safari,Carry in
2022-12-27,in-ga,Jumbo,No Output Voltage,Safari,Call Center
2023-04-06,in-br,UPS EB,BEEP Sound,Assigned,Dealer
2023-01-19,in-dl,UPS E2,Switch Problem,Spare Parts Unavailable,Customer
2022-10-07,in-ga,UPS EB,Charging Problem,Installation Done,Call Center
2023-05-31,in-mh,Online UPS,No Display,Safari,Whatsapp
2023-05-14,in-hr,UPS EB,Switch Problem,Assigned,Call Center
2023-03-07,in-tn,UPS EB,No Display,Spare Parts Unavailable,Whatsapp
2023-04-06,in-py,UPS EB,No Display,Assigned,Whatsapp
2022-12-10,in-dd,Stabilizer,Charging Problem,Assigned,Email
2023-04-13,in-mz,UPS XP,Charging Problem,Assigned,Dealer
2023-03-14,in-hp,UPS E2,No Display,Installation Done,Carry in
2023-06-16,in-ct,Jumbo,Switch Problem,Installation Done,Call
2023-07-06,in-mz,UPS EB,BEEP Sound,Installation Done,Dealer
2023-08-26,in-mn,UPS EB,BEEP Sound,Installation Done,Call
2023-02-18,in-ld,UPS EB,Load Problem,Assigned,Email
2023-04-06,in-mh,UPS E2,Charging Problem,Spare Parts Unavailable,Dealer
2022-12-19,in-or,Online UPS,Load Problem,Estimation Pending Approval,Email
2023-05-31,in-an,UPS EB,Switch Problem,Assigned,Email
2022-11-12,in-gj,UPS XP,Charging Problem,Installation Done,Call Center
2023-03-08,in-dd,UPS E2,Load Problem,Spare Parts Unavailable,Dealer
2023-04-14,in-as,Jumbo,Charging Problem,Estimation Pending Approval,Call Center
2023-02-01,in-mz,UPS E2,No Display,Installation Done,Call Center
2023-05-04,in-mn,Stabilizer,No Display,Spare Parts Unavailable,Customer
2023-07-22,in-gj,Online UPS,Switch Problem,Estimation Pending Approval,Carry in
2023-01-03,in-pb,Jumbo,Load Problem,Estimation Pending Approval,Carry in
2023-07-06,in-ka,UPS XP,Load Problem,Spare Parts Unavailable,Call Center
2023-06-09,in-or,Stabilizer,No Output Voltage,Safari,Whatsapp
2023-05-31,in-mz,Jumbo,Switch Problem,Installation Done,Whatsapp
2022-09-22,in-tg,UPS E2,Backup Problem,Safari,Whatsapp
2023-03-12,in-as,UPS EB,Charging Problem,Installation Done,Dealer
2023-05-06,in-ga,UPS XP,BEEP Sound,Estimation Pending Approval,Call Center
2023-02-10,in-dl,UPS E2,BEEP Sound,Assigned,Call Center
2022-12-05,in-py,Jumbo,No Output Voltage,Assigned,Email
2023-06-20,in-py,Online UPS,Load Problem,Installation Done,Customer
2022-12-02,in-dl,UPS XP,BEEP Sound,Assigned,Email
2023-06-02,in-an,Online UPS,Load Problem,Installation Done,Call Center
2023-08-19,in-dn,UPS E2,Backup Problem,Safari,Customer
2022-12-08,in-ch,UPS E2,No Output Voltage,Installation Done,Carry in
2022-09-24,in-ka,Online UPS,Load Problem,Estimation Pending Approval,Call
2023-01-17,in-tn,Jumbo,Charging Problem,Assigned,Customer
2023-08-28,in-dd,Jumbo,Load Problem,Safari,Call
2023-01-16,in-tn,Jumbo,Switch Problem,Estimation Pending Approval,Whatsapp
2023-02-08,in-mp,UPS EB,BEEP Sound,Assigned,Whatsapp
2023-05-14,in-ga,Online UPS,Load Problem,Installation Done,Call Center
2022-10-16,in-py,Jumbo,Charging Problem,Spare Parts Unavailable,Call Center
2023-07-11,in-an,UPS E2,Switch Problem,Safari,Email
2023-02-01,in-ld,UPS EB,BEEP Sound,Safari,Carry in
2023-02-10,in-sk,Stabilizer,BEEP Sound,Installation Done,Call
2023-08-07,in-ar,UPS E2,Charging Problem,Safari,Customer
2023-04-08,in-ml,Stabilizer,No Output Voltage,Assigned,Call Center
2022-10-12,in-py,UPS E2,No Output Voltage,Assigned,Carry in
2023-01-30,in-an,UPS XP,Switch Problem,Assigned,Email
2023-02-14,in-ct,UPS EB,No Output Voltage,Installation Done,Email
2023-07-16,in-up,UPS EB,Charging Problem,Assigned,Customer
2022-10-22,in-kl,UPS EB,Switch Problem,Safari,Whatsapp
2022-12-21,in-tr,UPS EB,No Output Voltage,Safari,Customer
2023-06-30,in-hp,UPS XP,No Display,Assigned,Carry in
2022-09-03,in-dl,UPS XP,No Output Voltage,Safari,Whatsapp
2023-05-18,in-ut,UPS XP,Charging Problem,Spare Parts Unavailable,Email
2022-10-21,in-tr,UPS E2,Backup Problem,Spare Parts Unavailable,Customer
2022-10-26,in-mp,UPS XP,Charging Problem,Assigned,Whatsapp
2023-07-24,in-mh,Stabilizer,Charging Problem,Spare Parts Unavailable,Call
2023-04-19,in-rj,Stabilizer,BEEP Sound,Assigned,Email
2023-06-23,in-ap,UPS EB,BEEP Sound,Estimation Pending Approval,Call
2023-04-04,in-or,Stabilizer,Switch Problem,Safari,Email
2022-11-06,in-up,UPS EB,Switch Problem,Installation Done,Whatsapp
2022-09-01,in-ar,Online UPS,Charging Problem,Spare Parts Unavailable,Dealer
2023-03-23,in-as,Online UPS,Switch Problem,Installation Done,Call Center
2022-11-11,in-ld,Stabilizer,BEEP Sound,Estimation Pending Approval,Call Center
2023-02-03,in-ut,Online UPS,No Display,Safari,Customer
2023-01-31,in-gj,UPS XP,Backup Problem,Estimation Pending Approval,Carry in
2022-11-17,in-as,UPS EB,No Display,Estimation Pending Approval,Email
2022-09-08,in-ga,UPS E2,No Output Voltage,Estimation Pending Approval,Whatsapp
2023-05-08,in-ap,UPS E2,Load Problem,Spare Parts Unavailable,Dealer
2023-04-29,in-mh,UPS EB,Load Problem,Safari,Dealer
2022-11-22,in-kl,UPS EB,Charging Problem,Estimation Pending Approval,Email
2023-07-22,in-ar,UPS EB,No Output Voltage,Assigned,Whatsapp
2023-08-16,in-pb,Jumbo,No Output Voltage,Spare Parts Unavailable,Call Center
2022-12-31,in-ut,UPS EB,Charging Problem,Spare Parts Unavailable,Customer
2023-03-12,in-ct,Online UPS,Switch Problem,Installation Done,Customer
2022-11-18,in-sk,Jumbo,Load Problem,Estimation Pending Approval,Email
2023-07-16,in-ch,Jumbo,No Output Voltage,Spare Parts Unavailable,Carry in
2023-05-22,in-py,Online UPS,No Output Voltage,Installation Done,Dealer
2023-05-05,in-up,Stabilizer,No Output Voltage,Estimation Pending Approval,Whatsapp
2023-04-13,in-up,UPS EB,Load Problem,Estimation Pending Approval,Call
2023-03-26,in-rj,Online UPS,BEEP Sound,Installation Done,Call Center
2022-11-19,in-kl,Stabilizer,BEEP Sound,Assigned,Customer
2022-11-15,in-ml,Jumbo,BEEP Sound,Installation Done,Carry in
2022-12-19,in-br,Jumbo,Backup Problem,Installation Done,Customer
2023-05-24,in-nl,UPS XP,Switch Problem,Estimation Pending Approval,Whatsapp
2023-05-22,in-up,Online UPS,No Display,Safari,Customer
2022-11-25,in-ka,UPS E2,No Display,Safari,Customer
2023-04-20,in-br,Jumbo,Charging Problem,Safari,Carry in
2022-12-23,in-sk,UPS E2,Charging Problem,Estimation Pending Approval,Carry in
2023-06-23,in-as,Jumbo,Backup Problem,Safari,Call Center
2022-11-27,in-ld,UPS XP,BEEP Sound,Spare Parts Unavailable,Email
2022-12-08,in-mn,UPS EB,No Display,Installation Done,Whatsapp
2022-11-01,in-br,Jumbo,No Output Voltage,Spare Parts Unavailable,Carry in
2023-02-03,in-mh,UPS EB,No Display,Safari,Call Center
2023-02-09,in-mn,UPS EB,BEEP Sound,Installation Done,Call
2023-02-02,in-mh,UPS EB,No Output Voltage,Spare Parts Unavailable,Call
2023-04-21,in-dn,Stabilizer,No Output Voltage,Installation Done,Whatsapp
2023-01-27,in-nl,UPS E2,No Display,Estimation Pending Approval,Carry in
2022-10-05,in-tr,Stabilizer,BEEP Sound,Estimation Pending Approval,Dealer
2022-11-08,in-dl,UPS XP,No Display,Safari,Whatsapp
2023-01-13,in-tr,Online UPS,Load Problem,Estimation Pending Approval,Carry in
2023-05-06,in-dl,UPS EB,Backup Problem,Safari,Call
2023-03-31,in-tr,UPS EB,Charging Problem,Safari,Call Center
2023-02-08,in-nl,Online UPS,Backup Problem,Estimation Pending Approval,Call
2022-12-15,in-ct,UPS E2,No Display,Estimation Pending Approval,Call
2022-10-24,in-py,UPS XP,No Display,Safari,Customer
2023-02-25,in-dn,Jumbo,Backup Problem,Safari,Whatsapp
2023-01-22,in-ut,UPS EB,Load Problem,Installation Done,Dealer
2022-10-14,in-mn,UPS EB,BEEP Sound,Installation Done,Call Center
2023-06-25,in-ch,UPS XP,No Output Voltage,Estimation Pending Approval,Call
2023-08-25,in-nl,UPS EB,BEEP Sound,Estimation Pending Approval,Email
2022-12-20,in-up,UPS E2,BEEP Sound,Spare Parts Unavailable,Whatsapp
2023-05-20,in-as,UPS EB,Load Problem,Spare Parts Unavailable,Customer
2023-04-18,in-pb,Stabilizer,No Output Voltage,Assigned,Call Center
2023-07-16,in-ar,Online UPS,No Output Voltage,Safari,Call Center
2023-03-18,in-hp,Stabilizer,Charging Problem,Installation Done,Call
2023-04-08,in-hr,Jumbo,Switch Problem,Assigned,Email
2023-02-05,in-ka,Stabilizer,No Output Voltage,Installation Done,Email
2023-01-21,in-dd,UPS XP,No Output Voltage,Spare Parts Unavailable,Carry in
2023-07-26,in-as,Stabilizer,No Output Voltage,Installation Done,Carry in
2023-02-09,in-hp,Jumbo,Backup Problem,Assigned,Call Center
2022-10-28,in-mn,Jumbo,No Output Voltage,Spare Parts Unavailable,Call Center
2023-03-21,in-tr,Online UPS,No Output Voltage,Installation Done,Carry in
2023-03-06,in-dd,Jumbo,No Output Voltage,Safari,Carry in
2022-11-01,in-ut,Stabilizer,No Display,Estimation Pending Approval,Carry in
2023-05-14,in-rj,Jumbo,No Display,Estimation Pending Approval,Carry in
2023-05-26,in-pb,UPS EB,Charging Problem,Estimation Pending Approval,Call Center
2023-01-20,in-rj,Jumbo,Charging Problem,Assigned,Carry in
2023-07-28,in-ga,UPS XP,Backup Problem,Assigned,Customer
2023-01-25,in-mp,UPS XP,No Display,Safari,Call Center
2023-06-11,in-dd,UPS EB,No Output Voltage,Assigned,Customer
2023-03-16,in-dl,UPS E2,Charging Problem,Spare Parts Unavailable,Call Center
2022-10-17,in-hp,UPS EB,No Display,Safari,Customer
2022-11-11,in-mn,Stabilizer,Backup Problem,Safari,Call Center
2023-04-27,in-mh,Jumbo,No Display,Spare Parts Unavailable,Call Center
2022-10-07,in-ga,UPS XP,Load Problem,Installation Done,Call Center
2023-03-04,in-jh,UPS EB,Load Problem,Spare Parts Unavailable,Whatsapp
2023-04-01,in-dn,UPS EB,Load Problem,Safari,Call
2023-04-09,in-dl,Jumbo,No Display,Estimation Pending Approval,Call Center
2023-03-15,in-rj,UPS XP,Backup Problem,Installation Done,Dealer
2023-07-18,in-wb,Stabilizer,Charging Problem,Installation Done,Carry in
2023-05-31,in-ap,UPS XP,Load Problem,Installation Done,Customer
2023-07-21,in-mh,UPS E2,No Output Voltage,Safari,Customer
2022-12-20,in-an,Stabilizer,No Display,Estimation Pending Approval,Customer
2023-06-14,in-dd,Online UPS,Backup Problem,Estimation Pending Approval,Email
2023-02-07,in-ap,Online UPS,Load Problem,Estimation Pending Approval,Whatsapp
2022-12-05,in-ap,Online UPS,Load Problem,Spare Parts Unavailable,Carry in
2023-01-24,in-py,UPS XP,No Display,Estimation Pending Approval,Customer
2023-08-10,in-ap,Online UPS,BEEP Sound,Installation Done,Email
2023-07-02,in-br,UPS EB,BEEP Sound,Estimation Pending Approval,Email
2023-08-28,in-ct,Jumbo,No Display,Installation Done,Carry in
2023-01-04,in-ld,Jumbo,Charging Problem,Safari,Email
2022-11-27,in-gj,Stabilizer,Load Problem,Safari,Call Center
2022-12-12,in-ga,Jumbo,Load Problem,Spare Parts Unavailable,Call
2023-04-30,in-up,Online UPS,BEEP Sound,Spare Parts Unavailable,Call Center
2022-10-04,in-tn,Stabilizer,No Display,Installation Done,Call Center
2022-09-28,in-tg,UPS XP,BEEP Sound,Assigned,Call
2023-08-24,in-ld,Jumbo,Backup Problem,Assigned,Customer
2022-10-17,in-ut,Online UPS,No Output Voltage,Spare Parts Unavailable,Carry in
2022-09-20,in-ut,Stabilizer,No Display,Assigned,Dealer
2023-07-14,in-hp,UPS XP,Load Problem,Safari,Dealer
2023-05-23,in-tn,Stabilizer,No Output Voltage,Spare Parts Unavailable,Whatsapp
2023-07-07,in-gj,UPS EB,BEEP Sound,Installation Done,Whatsapp
2022-12-10,in-jh,UPS E2,Charging Problem,Assigned,Customer
2022-12-21,in-ut,Online UPS,No Display,Installation Done,Whatsapp
2023-01-19,in-nl,Jumbo,Load Problem,Assigned,Customer
2022-11-28,in-tr,Online UPS,Backup Problem,Safari,Whatsapp
2022-12-08,in-py,Online UPS,No Display,Safari,Email
2022-09-05,in-kl,Online UPS,BEEP Sound,Installation Done,Whatsapp
2022-10-17,in-ka,Jumbo,Charging Problem,Safari,Email
2023-05-18,in-rj,Jumbo,Switch Problem,Safari,Call
2023-03-30,in-an,Jumbo,Switch Problem,Spare Parts Unavailable,Carry in
2022-10-24,in-dd,UPS XP,Charging Problem,Estimation Pending Approval,Call Center
2022-12-27,in-hp,UPS XP,No Display,Spare Parts Unavailable,Whatsapp
2023-03-07,in-tn,Jumbo,Backup Problem,Estimation Pending Approval,Call Center
2022-12-16,in-up,UPS EB,Load Problem,Assigned,Dealer
2023-05-01,in-ar,Stabilizer,Switch Problem,Installation Done,Dealer
2023-03-13,in-mh,Online UPS,BEEP Sound,Spare Parts Unavailable,Call Center
2023-04-07,in-ct,UPS E2,Backup Problem,Assigned,Customer
2023-08-08,in-hr,Stabilizer,Charging Problem,Installation Done,Customer
2022-11-01,in-ut,UPS E2,Load Problem,Estimation Pending Approval,Call Center
2023-05-06,in-rj,Stabilizer,No Display,Assigned,Dealer
2022-09-20,in-tn,UPS XP,No Display,Assigned,Call Center
